,tweet_id,text,favorite_count,retweet_count,created_at
34,1060580856572592128,RT @antall_en: Omfg @MikeWiLLMadeIt I love you bruh!!!! This is legendary af! https://t.co/grEhlc9LWd,0,3,Thu Nov 08 17:12:35 +0000 2018
35,1060580486827950080,RT @LiveLiteMarcel: @MikeWiLLMadeIt had a listening party for @creedmovie . Every song Slaps,0,3,Thu Nov 08 17:11:07 +0000 2018
36,1060580374961635328,Thank God for the day!,1819,921,Thu Nov 08 17:10:40 +0000 2018
37,1060580035390631936,It’s true that many House Republicans will have one more election to cling to their gerrymandered seats before many new Democratic governors and legislatures get to redraw the maps. https://t.co/vO0x4ihVKq,794,125,Thu Nov 08 17:09:19 +0000 2018
38,1060579898790576128,"Another day, another opportunity..",384,168,Thu Nov 08 17:08:47 +0000 2018
39,1060579136085749760,MOOD 😂When’s the shirt dropping @PUMAHoops https://t.co/qJkEud66y5,219,43,Thu Nov 08 17:05:45 +0000 2018
40,1060579011456315392,".@smino’s ‘NØIR’ is out now with features from @dreezydreezy, @valee, @ravynlenae and more. What’s your favorite track so far? 🤔 https://t.co/3kyAllxv1e",52,17,Thu Nov 08 17:05:15 +0000 2018
41,1060577739982471168,6ix9ine has some new music on the way https://t.co/Tc6lXufMzT,74,15,Thu Nov 08 17:00:12 +0000 2018
42,1060577218680774659,".@playboicarti has new music on the way. 

Listen to a preview of some tracks on his forthcoming project  https://t.co/yWQxLUbRSE",161,36,Thu Nov 08 16:58:08 +0000 2018
43,1060576170377244672,RT @EliLake: Mazel Tov to my friend @sohrabahmari on his new gig as op-ed editor of @nypost,0,5,Thu Nov 08 16:53:58 +0000 2018
44,1060575615911247872,RT @danpfeiffer: I have worked on one recount with @marceelias and prepared for a couple more and he is not someone who uses hyperbole. He…,0,209,Thu Nov 08 16:51:46 +0000 2018
45,1060575088150372357,RT @redsteeze: Racist Democrats is why John James lost. https://t.co/JM6oAJhNiC,0,759,Thu Nov 08 16:49:40 +0000 2018
46,1060575034693931008,"RT @DavidRutz: Domestic terrorism as a strategy, explained https://t.co/aENQe0YLRc",0,719,Thu Nov 08 16:49:27 +0000 2018
47,1060574495075905538,Also follow Nathaniel Rakich (@baseballot) for more on the uncalled races beat. We're going to try to be a go-to source for you on this stuff.,91,10,Thu Nov 08 16:47:18 +0000 2018
48,1060574274828812288,"What is clear is the importance of Pennsylvania, Wisconsin and Michigan. https://t.co/EnAtHHzlWN",21,8,Thu Nov 08 16:46:26 +0000 2018
49,1060574243677765632,"On the other side, we're also moving NY-22 from ""called D"" to Likely D.  https://t.co/u4noA9uaEI",117,21,Thu Nov 08 16:46:18 +0000 2018
50,1060574240708059136,RT @ryanobles: BREAKING: First @AndrewGillum statement on possible #FLGov recount “It has become clear there are many more outstanding ball…,0,983,Thu Nov 08 16:46:18 +0000 2018
51,1060573939540393984,"Dipset SZN is here

https://t.co/1oZeH9a7jz",53,17,Thu Nov 08 16:45:06 +0000 2018
52,1060573847655714816,Celtics Unwillingness to Trade Terry Rozier Could Mean They’re Not Sold on Signing Kyrie Long Term https://t.co/2DtRYC1WvG,2,0,Thu Nov 08 16:44:44 +0000 2018
53,1060573189451931648,"RT @NPR: Christine Blasey Ford is still being harassed, her lawyers say. She's reportedly had to move four times. She's had to pay for a pr…",0,5054,Thu Nov 08 16:42:07 +0000 2018
54,1060572678304817152,#SIRtrain have delays [SIR] Tottenville-bound trains run on an adjusted schedule #NYC https://t.co/jh4U3Ctg8s,0,0,Thu Nov 08 16:40:05 +0000 2018
55,1060571868346834944,RT @NoahCRothman: It will be Christie. We can end the speculation right now. https://t.co/8FlGToh1co,0,109,Thu Nov 08 16:36:52 +0000 2018
56,1060571803595218945,"🆕 THE BREAK 🆕

Compton rapper @RoddyRicch has a sound of his own, and his hit single ""Die Young"" shows a lot of promise. Learn more about him on @XXL's The Break https://t.co/WQ1x7mF49N",63,19,Thu Nov 08 16:36:37 +0000 2018
57,1060571228367454209,"RT @jkylemann: HEY YOU GUYS

Here's part four (of four) of THE LEAP on the @ringer. A series where we examine the NBA's next generation of…",0,8,Thu Nov 08 16:34:19 +0000 2018
58,1060570855233732610,Thread https://t.co/T14jUe9rlG,245,39,Thu Nov 08 16:32:50 +0000 2018
59,1060570529466327041,ATTENTION NJT CUSTOMERS- The scheduled work on the Port Jervis line this weekend has been CANCELLED. Rail service will operate on a normal schedule. https://t.co/31GfLB8sZK https://t.co/cRA3rXAkk9,1,7,Thu Nov 08 16:31:33 +0000 2018
